time,price,amount,bid_price,ask_price
9175335,141400,2,141370,141390
9175335,141410,2,141370,141390
9175337,141400,1,141390,141400
9175419,141410,5,141390,141410
9175419,141410,4,141390,141410
9175420,141420,1,141390,141420
9175485,141390,4,141390,141420
9175485,141380,1,141380,141390
9175994,141410,4,141380,141410
9175994,141420,7,141380,141410
9175994,141430,11,141420,141430
9175994,141440,4,141430,141440
9175994,141450,1,141440,141450
9175994,141450,16,141440,141450
9175995,141440,1,141440,141470
9175996,141440,1,141440,141460
9175996,141430,1,141440,141460
9175997,141460,1,141430,141460
9180015,141430,1,141430,141460
9180061,141430,1,141430,141440
9180061,141430,1,141420,141430
9180064,141420,1,141420,141430
9180160,141410,1,141410,141430
9180165,141390,1,141390,141420
9180255,141390,1,141390,141400
9180260,141400,1,141370,141400
9180283,141380,2,141370,141380
9180283,141390,1,141380,141390
9180339,141370,1,141370,141400
9180361,141370,1,141370,141390
9180470,141360,1,141360,141370
9180560,141350,2,141350,141370
9180702,141340,5,141340,141350
9180739,141330,1,141330,141350
9180959,141320,1,141320,141340
9181167,141320,1,141310,141320
9181167,141320,1,141320,141330
9181177,141320,1,141320,141330
9181178,141320,1,141320,141330
9181188,141320,1,141320,141330
9181739,141310,1,141300,141310
9181960,141300,1,141300,141310
9181967,141300,1,141300,141310
9182061,141300,1,141300,141310
9182080,141290,1,141290,141310
9182101,141280,1,141280,141310
9182200,141280,2,141280,141300
9182200,141280,3,141270,141280
9182205,141300,1,141290,141300
9182211,141290,1,141290,141310
9182314,141300,1,141290,141300
9182397,141310,4,141300,141310
9182485,141310,1,141310,141330
9182629,141310,2,141310,141330
9182629,141310,2,141300,141310
9182742,141330,3,141320,141330
9182742,141330,1,141320,141330
9182947,141340,4,141330,141340
9182947,141350,2,141330,141340
9182947,141360,1,141330,141340
9182965,141360,3,141350,141360
9182965,141360,1,141360,141370
9182983,141350,1,141350,141360
9182992,141360,1,141350,141360
9182992,141370,2,141350,141370
9182992,141380,5,141350,141380
9182993,141390,2,141360,141390
9182993,141420,1,141360,141390
9183000,141370,1,141370,141390
9183000,141360,3,141360,141390
9183058,141350,1,141350,141370
9183135,141350,8,141350,141370
9183135,141350,1,141330,141350
9183135,141330,1,141330,141340
9183246,141320,2,141320,141330
9183247,141320,1,141300,141320
9183398,141330,1,141320,141330
9183636,141340,1,141320,141340
9183636,141350,11,141330,141350
9183869,141350,2,141330,141350
9184265,141370,1,141350,141370
9184361,141390,1,141360,141390
9184696,141350,2,141350,141370
9184860,141380,2,141360,141380
9184860,141380,18,141370,141380
9185079,141390,1,141380,141390
9185157,141390,1,141380,141390
9185206,141390,1,141390,141410
9185628,141410,3,141400,141410
9185651,141420,1,141410,141420
9185651,141420,2,141410,141420
9185666,141430,5,141420,141430
9185666,141440,1,141430,141440
9185666,141430,2,141430,141440
9185677,141420,1,141420,141430
9185712,141410,1,141410,141430
9185712,141420,1,141390,141420
9185927,141420,2,141400,141420
9185927,141420,6,141420,141430
9185927,141430,1,141400,141430
9185994,141440,1,141420,141440
9190044,141440,1,141440,141460
9190091,141440,1,141440,141460
9190093,141430,1,141430,141450
9190339,141440,3,141420,141440
9190427,141460,1,141450,141460
9190427,141470,4,141450,141460
9190460,141450,1,141450,141470
9190470,141460,1,141440,141460
9190470,141470,4,141440,141460
9190705,141470,1,141450,141470
9190850,141450,3,141450,141470
9190873,141440,1,141440,141460
9190907,141430,1,141430,141450
9191040,141440,1,141420,141440
9191100,141430,1,141430,141440
9191216,141430,1,141420,141430
9191302,141420,2,141420,141430
9191302,141410,1,141410,141420
9191303,141400,4,141400,141410
9191531,141400,1,141400,141420
9191531,141390,1,141390,141410
9192170,141380,2,141380,141400
9192188,141380,2,141360,141380
9192188,141380,18,141380,141390
9192189,141360,1,141340,141360
9192245,141370,1,141360,141370
9192336,141380,1,141360,141380
9192444,141380,1,141370,141380
9192863,141390,1,141370,141390
9193009,141400,1,141390,141400
9193013,141410,1,141400,141410
9193197,141400,1,141400,141420
9193414,141420,1,141410,141420
9193966,141440,1,141420,141440
9194068,141420,1,141420,141450
9194068,141440,1,141410,141440
9194068,141450,1,141410,141440
9194208,141440,1,141430,141440
9194208,141450,1,141430,141450
9194212,141440,1,141440,141470
9194690,141450,1,141450,141470
9194734,141450,1,141450,141470
9194947,141460,2,141460,141470
9194947,141450,1,141450,141470
9194947,141440,3,141440,141470
9194948,141460,4,141430,141460
9194948,141470,2,141430,141460
9194948,141440,1,141440,141470
9195638,141450,2,141430,141450
9195740,141460,1,141430,141460
9195755,141470,4,141450,141470
9195803,141480,2,141460,141480
9195803,141490,20,141460,141480
9195803,141500,32,141460,141480
9195803,141510,2,141500,141510
9195803,141520,12,141510,141520
9195803,141530,1,141520,141530
9195806,141530,1,141530,141540
9195806,141520,2,141520,141540
9195806,141510,1,141510,141520
9195811,141510,2,141510,141540
9195813,141520,1,141510,141520
9195815,141540,1,141510,141540
9195816,141520,1,141520,141540
9195816,141510,1,141520,141540
9195816,141500,4,141500,141530
9195835,141500,4,141500,141520
9195849,141510,1,141510,141520
9195867,141520,2,141510,141520
9195904,141530,1,141520,141530
9195904,141530,1,141530,141540
9195964,141540,1,141520,141540
9195967,141540,11,141520,141540
9195967,141550,3,141530,141550
9195968,141560,1,141540,141560
9200002,141580,1,141560,141580
9200002,141570,1,141570,141580
9200003,141580,7,141560,141580
9200003,141560,1,141560,141580
9200018,141570,1,141570,141580
9200021,141570,5,141570,141580
9200023,141580,3,141560,141580
9200024,141580,1,141580,141590
9200024,141580,1,141560,141580
9200026,141580,2,141580,141590
9200029,141590,3,141560,141590
9200035,141580,1,141580,141600
9200076,141580,1,141580,141600
9200077,141600,1,141580,141600
9200089,141600,19,141590,141600
9200091,141600,2,141600,141610
9200107,141610,10,141600,141610
9200108,141630,1,141600,141630
9200116,141610,2,141610,141630
9200116,141600,5,141610,141630
9200116,141590,3,141610,141630
9200129,141610,2,141580,141610
9200129,141620,1,141580,141610
9200129,141630,2,141580,141610
9200132,141590,1,141590,141620
9200141,141620,1,141590,141620
9200141,141630,5,141590,141620
9200179,141610,1,141580,141610
9200194,141600,1,141580,141600
9200225,141580,1,141580,141590
9200225,141590,1,141570,141590
9200241,141580,1,141560,141580
9200353,141580,7,141580,141590
9200353,141570,2,141570,141590
9200354,141560,1,141560,141580
9200381,141540,1,141540,141570
9200381,141530,2,141540,141570
